date,coin,entry_price,exit_price,pnl_pct,exit_reason,hold_hours
2025-12-15 15:00,AVAX/USD,12.88,12.558,-2.9863,stop_loss,1.0
2025-12-18 19:00,SOL/USD,121.564286,118.525179,-2.9863,stop_loss,1.0
2025-12-19 07:00,AVAX/USD,11.53615,11.939915,2.9838,take_profit,13.0
2026-01-11 16:00,SOL/USD,135.31025,140.046109,2.9838,take_profit,44.0
2026-02-03 20:00,SOL/USD,98.8915,102.352702,2.9838,take_profit,1.0
2026-02-04 19:00,AVAX/USD,9.686225,10.025243,2.9838,take_profit,3.0
2026-02-15 17:00,AVAX/USD,9.29643,9.621805,2.9838,take_profit,4.0
2026-02-18 14:00,SOL/USD,82.582,85.47237,2.9838,take_profit,1.0
2026-02-26 19:00,WIF/USD,0.203998,0.211138,2.9838,take_profit,3.0
2026-02-27 02:00,RENDER/USD,1.40205,1.451122,2.9838,take_profit,10.0
2026-02-27 04:00,BONK/USD,6e-06,6e-06,2.9838,take_profit,12.0
2026-02-27 21:00,BONK/USD,6e-06,6e-06,-2.9863,stop_loss,8.0
2026-03-02 00:00,RENDER/USD,1.31535,1.361387,2.9838,take_profit,4.0
2026-03-02 01:00,WIF/USD,0.189358,0.195985,2.9838,take_profit,6.0
2026-03-05 20:00,WIF/USD,0.209569,0.216904,2.9838,take_profit,4.0
2026-03-05 21:00,RENDER/USD,1.35634,1.403812,2.9838,take_profit,5.0
2026-03-06 13:00,BONK/USD,6e-06,6e-06,-2.9863,stop_loss,21.0
2026-03-10 21:00,WIF/USD,0.168585,0.16437,-2.9863,stop_loss,8.0
2026-03-18 12:00,RENDER/USD,1.8067,1.761532,-2.9863,stop_loss,23.0
2026-04-02 01:00,SOL/USD,81.84625,79.800094,-2.9863,stop_loss,4.0
2026-04-07 09:00,RENDER/USD,1.8615,1.926652,2.9838,take_profit,11.0
2026-04-07 10:00,WIF/USD,0.1801,0.175598,-2.9863,stop_loss,12.0
2026-04-07 15:00,BONK/USD,6e-06,6e-06,2.9838,take_profit,17.0
2026-04-15 01:00,RENDER/USD,1.83451,1.898718,2.9838,take_profit,7.0
2026-04-15 04:00,WIF/USD,0.1908,0.18603,-2.9863,stop_loss,10.0
2026-04-15 04:00,BONK/USD,6e-06,6e-06,2.9838,take_profit,10.0
2026-04-29 18:00,WIF/USD,0.175453,0.181594,2.9838,take_profit,3.0
2026-04-29 18:00,BONK/USD,6e-06,6e-06,-2.9863,stop_loss,3.0
2026-05-13 14:00,WIF/USD,0.218597,0.226248,2.9838,take_profit,1.0
2026-05-13 15:00,RENDER/USD,1.885485,1.838348,-2.9863,stop_loss,2.0
2026-05-14 03:00,WIF/USD,0.21837,0.212911,-2.9863,stop_loss,13.0
2026-05-14 19:00,AVAX/USD,9.762,10.10367,2.9838,take_profit,30.0
2026-05-22 19:00,RENDER/USD,1.930765,1.882496,-2.9863,stop_loss,1.0
2026-05-29 14:00,RENDER/USD,1.97233,2.041362,2.9838,take_profit,1.0
2026-05-29 15:00,RENDER/USD,1.9786,2.047851,2.9838,take_profit,1.0
2026-05-30 05:00,RENDER/USD,1.954,2.02239,2.9838,take_profit,8.0
2026-05-31 21:00,RENDER/USD,2.0135,2.083972,2.9838,take_profit,5.0
2026-06-01 14:00,RENDER/USD,1.98018,2.049486,2.9838,take_profit,1.0
2026-06-01 15:00,RENDER/USD,1.9625,2.031187,2.9838,take_profit,1.0
2026-06-02 15:00,WIF/USD,0.18131,0.176777,-2.9863,stop_loss,1.0
2026-06-02 15:00,BONK/USD,5e-06,5e-06,-2.9863,stop_loss,1.0
2026-06-02 19:00,RENDER/USD,2.060975,2.009451,-2.9863,stop_loss,1.0
2026-06-04 21:00,RENDER/USD,1.9246,1.876485,-2.9863,stop_loss,1.0
2026-06-05 01:00,WIF/USD,0.165364,0.16123,-2.9863,stop_loss,4.0
2026-06-05 03:00,BONK/USD,5e-06,5e-06,-2.9863,stop_loss,6.0
2026-06-07 22:00,RENDER/USD,1.61107,1.667457,2.9838,take_profit,3.0
2026-06-09 16:00,RENDER/USD,1.5846,1.640061,2.9838,take_profit,1.0
2026-06-09 23:00,WIF/USD,0.15327,0.155175,0.7383,eod_liquidation,7.0
2026-06-09 23:00,RENDER/USD,1.5911,1.61815,1.1928,eod_liquidation,7.0
2026-06-09 23:00,AVAX/USD,6.516,6.63477,1.3149,eod_liquidation,7.0
